"NAMA_TIM","GROUP","NAMA_PEMAIN","NOPUNG","KAPTEN"
"Dewa United Banten","Group A","Patrick Nikolas","1","Tidak"
"Dewa United Banten","Group A","Lester Prosper","0","Tidak"
"Dewa United Banten","Group A","Jordan Adams","11","Tidak"
"Dewa United Banten","Group A","Gelvis Solano","22","Tidak"
"Dewa United Banten","Group A","Rio Disi","9","Tidak"
"Dewa United Banten","Group A","Radithyo Wibowo","7","Tidak"
"RANS Simba Bogor","Group A","Januar Kuntara","6","Ya"
"RANS Simba Bogor","Group A","Althof Satrio","10","Tidak"
"RANS Simba Bogor","Group A","Oki Wira Sanjaya","13","Tidak"
"RANS Simba Bogor","Group A","Argus Sanyudy","17","Tidak"
"RANS Simba Bogor","Group A","Fatur Dwi","21","Tidak"
"RANS Simba Bogor","Group A","Ida Bagus Ananta","3","Tidak"
"RANS Simba Bogor","Group A","Bailey LeRon","24","Tidak"
"RANS Simba Bogor","Group A","Devon van Oostrum","1","Tidak"
"RANS Simba Bogor","Group A","Kenneth Funderburk","5","Tidak"
"RANS Simba Bogor","Group A","Daniel Salamena","7","Tidak"
"RANS Simba Bogor","Group A","Galank Gunawan","66","Tidak"
"RANS Simba Bogor","Group A","Julius Caesar","8","Tidak"
"Bali United Basketball","Group B","Ponsianus Nyoman Indrawan","13","Ya"
"Bali United Basketball","Group B","Surliyadin","11","Tidak"
"Bali United Basketball","Group B","Abraham Wenas","2","Tidak"
"Bali United Basketball","Group B","Lutfi Kosasih","9","Tidak"
"Bali United Basketball","Group B","Putu Pande","1","Tidak"
"Bali United Basketball","Group B","Irvine Kurniawan","5","Tidak"
"Bali United Basketball","Group B","Bima Riski","8","Tidak"
"Bali United Basketball","Group B","Kierell Green","32","Tidak"
"Bali United Basketball","Group B","Ryan Batte","15","Tidak"
"Bali United Basketball","Group B","Gede Elgi","7","Tidak"
"Bali United Basketball","Group B","Putu J Satria","21","Tidak"
"Bali United Basketball","Group B","Handri Satrya","4","Tidak"
"Kesatria Bengawan Solo","Group B","Kentrell Barkley","24","Ya"
"Kesatria Bengawan Solo","Group B","Nuke Tri Saputra","3","Tidak"
"Kesatria Bengawan Solo","Group B","Kevin Nugroho","10","Tidak"
"Kesatria Bengawan Solo","Group B","Andre Rorimpandey","7","Tidak"
"Kesatria Bengawan Solo","Group B","Samuel Devin","11","Tidak"
"Kesatria Bengawan Solo","Group B","Tifan Eka Pradita","1","Tidak"
"Kesatria Bengawan Solo","Group B","Taylor Johns","23","Tidak"
"Kesatria Bengawan Solo","Group B","C.J. Gettys","33","Tidak"
"Kesatria Bengawan Solo","Group B","Ferdian Dwi Purwoko","17","Tidak"
"Kesatria Bengawan Solo","Group B","Ruslan","22","Tidak"
"Kesatria Bengawan Solo","Group B","Katon Adjie","9","Tidak"
"Kesatria Bengawan Solo","Group B","Bagus Dwi","5","Tidak"
"Bima Perkasa Jogja","Group B","Ikram Fadhil","9","Ya"
"Bima Perkasa Jogja","Group B","Restu Dwi Purnomo","12","Tidak"
"Bima Perkasa Jogja","Group B","Ali Mustofa","10","Tidak"
"Bima Perkasa Jogja","Group B","Avin Kurniawan","7","Tidak"
"Bima Perkasa Jogja","Group B","Habib Titoaji","11","Tidak"
"Bima Perkasa Jogja","Group B","Joseph Paian","3","Tidak"
"Bima Perkasa Jogja","Group B","Garrius Holloman","23","Tidak"
"Bima Perkasa Jogja","Group B","Martyce Kimbrough","1","Tidak"
"Bima Perkasa Jogja","Group B","Andre Adrianno","5","Tidak"
"Bima Perkasa Jogja","Group B","Muhammad Mukhlisin","15","Tidak"
"Bima Perkasa Jogja","Group B","Handri Satrya","8","Tidak"
"Bima Perkasa Jogja","Group B","Yanuar Dwi","4","Tidak"
"Borneo Hornbills","Group B","Michael Qualls","2","Ya"
"Borneo Hornbills","Group B","Jamarr Johnson","1","Tidak"
"Borneo Hornbills","Group B","Agam Subastian","5","Tidak"
"Borneo Hornbills","Group B","Raymond Shariputra","7","Tidak"
"Borneo Hornbills","Group B","Hans Wong","11","Tidak"
"Borneo Hornbills","Group B","Sevly Rondonuwu","13","Tidak"
"Borneo Hornbills","Group B","Steve Taylor Jr","24","Tidak"
"Borneo Hornbills","Group B","Travion Leonard","34","Tidak"
"Borneo Hornbills","Group B","Calvin Chrissler","9","Tidak"
"Borneo Hornbills","Group B","Aven Ryan","8","Tidak"
"Borneo Hornbills","Group B","Sultan Prawira","15","Tidak"
"Borneo Hornbills","Group B","Daniel Wenas","10","Tidak"
"Tangerang Hawks","Group B","Teddy Apriyana","10","Ya"
"Tangerang Hawks","Group B","Danny Ray","7","Tidak"
"Tangerang Hawks","Group B","Rizky Effendi","1","Tidak"
"Tangerang Hawks","Group B","Richard Ross","23","Tidak"
"Tangerang Hawks","Group B","Augustus Stone","3","Tidak"
"Tangerang Hawks","Group B","Andreas Marcellino","12","Tidak"
"Tangerang Hawks","Group B","Winston Swenjaya","5","Tidak"
"Tangerang Hawks","Group B","Fabio Mailangkay","11","Tidak"
"Tangerang Hawks","Group B","Randika Aprillia","8","Tidak"
"Tangerang Hawks","Group B","Keefe Yoshe","9","Tidak"
"Tangerang Hawks","Group B","Gabriel Batistuta","15","Tidak"
"Tangerang Hawks","Group B","Leonardo Effendy","17","Tidak"
